game_id,date,team,opponent,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,to,pf,pts,+/-,result,possessions,ball_security,shot_value,offensive_flow,data_scope
20260503_LVA_DAL,"Sunday, May 3, 2026",Las Vegas Aces,Dallas Wings,28.0,60.0,46.7,5.0,19.0,26.3,23.0,38.0,60.5,2.0,23.0,25.0,14.0,9.0,3.0,16.0,26.0,84.0,-17.0,l,90.7,0.824,0.633,0.5,full_game
20260503_LVA_DAL,"Sunday, May 3, 2026",Dallas Wings,Las Vegas Aces,35.0,71.0,49.3,9.0,20.0,45.0,22.0,29.0,75.9,9.0,26.0,35.0,24.0,9.0,1.0,14.0,27.0,101.0,17.0,w,88.8,0.842,0.69,0.686,full_game
20260503_LAS_PDX,"Sunday, May 3, 2026",Los Angeles Sparks,Portland Fire,26.0,64.0,40.6,9.0,31.0,29.0,24.0,32.0,75.0,10.0,21.0,31.0,22.0,10.0,4.0,20.0,28.0,85.0,10.0,w,88.1,0.773,0.797,0.846,full_game
20260503_LAS_PDX,"Sunday, May 3, 2026",Portland Fire,Los Angeles Sparks,24.0,54.0,44.4,4.0,18.0,22.2,23.0,30.0,76.7,6.0,24.0,30.0,15.0,8.0,2.0,24.0,29.0,75.0,-10.0,l,85.2,0.718,0.648,0.625,full_game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
