player,pts,reb,ast,stl,blk,to,player_shot_value,player_offensive_flow,assist_turnover_ratio
Jordan Obi,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0
Kyla Oldacre,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0
Megan McConnell,0.0,2.5,1.5,1.0,0.5,2.0,0.0,,0.5
Rayah Marshall,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
Peyton Williams,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,
Mariella Fasoula,0.0,1.0,0.0,0.0,0.0,0.0,,,
Ndjakalenga Mwenentanda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Miela Sowah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Saylor Poffenbarger,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,
Taylor Bigby,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,
Sydney Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aaliyah Edwards,,,,,,,,,
Alicia Florez Getino,,,,,,,,,
Ashlon Jackson,,,,,,,,,
Brionna Jones,,,,,,,,,
Dorka Juhasz,,,,,,,,,
Ezi Magbegor,,,,,,,,,
Jade Masogayo,,,,,,,,,
Karlie Samuelson,,,,,,,,,
Katie Lou Samuelson,,,,,,,,,
Lani White,,,,,,,,,
Leila Lacan,,,,,,,,,
Leonie Fiebich,,,,,,,,,
Mamignan Toure,,,,,,,,,
Marine Fauthoux,,,,,,,,,
Michaela Onyenwere,,,,,,,,,
Napheesa Collier,,,,,,,,,
Nell Angloma,,,,,,,,,
Nikolina Milic,,,,,,,,,
Raquel Carrera,,,,,,,,,
Rebecca Allen,,,,,,,,,
Reigan Richardson,,,,,,,,,
Sami Whitcomb,,,,,,,,,
Satou Sabally,,,,,,,,,
Shey Peddy,,,,,,,,,
Sug Sutton,,,,,,,,,
Taina Mair,,,,,,,,,
Teja Oblak,,,,,,,,,
Ugonne Onyiah,,,,,,,,,
