game_id,date,season_phase,team,opponent,player,position,min,fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,plus_minus,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Alanna Smith,F,19.0,1-2,1-1,2-2,0.0,4.0,4.0,5.0,1.0,0.0,5.0,2.0,5.0,10.0,1.0,2.0,1.0,1.0,2.0,2.0,2.5,5.0,1.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Maddy Siegrist,F,29.0,7-13,2-5,2-2,2.0,9.0,11.0,0.0,1.0,1.0,1.0,4.0,18.0,12.0,7.0,13.0,2.0,5.0,2.0,2.0,0.6153846153846154,0.0,0.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Odyssey Sims,G,15.0,4-4,0-0,1-2,1.0,2.0,3.0,4.0,1.0,0.0,0.0,3.0,9.0,18.0,4.0,4.0,0.0,0.0,1.0,2.0,0.25,1.0,999.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Paige Bueckers,G,20.0,8-12,4-6,0-0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,20.0,15.0,8.0,12.0,4.0,6.0,0.0,0.0,1.0,0.375,1.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Azzi Fudd,G,16.0,2-7,0-2,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,-3.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.5,999.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Alysha Clark,F,7.0,0-0,0-0,0-0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Amy Okonkwo,F,10.0,0-2,0-1,0-0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,-6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Dulcy Fankam Mendjiadeu,F,12.0,4-7,0-0,0-0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,8.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Li Yueru,C,12.0,3-5,0-1,2-3,5.0,3.0,8.0,2.0,0.0,0.0,3.0,3.0,8.0,-2.0,3.0,5.0,0.0,1.0,2.0,3.0,0.4,0.6666666666666666,0.667
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Lindsay Allen,G,14.0,1-2,0-0,1-1,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,-5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.5,2.0,2.0
