player,team,position,pts,reb,ast,stl,blk,to,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
Rebekah Gardner,New York Liberty,G,5.278,2.639,1.222,0.472,0.194,0.639,1.917,4.056,0.25,1.111,1.194,1.278,0.556,0.471,388.968
Reigan Richardson,Minnesota Lynx,G,,,,,,,,,,,,,,,
Rhyne Howard,Atlanta Dream,G,17.294,3.647,3.647,2.294,0.912,1.235,5.5,13.618,3.147,8.618,3.147,3.618,0.924,0.76,207.833
Rickea Jackson,Chicago Sky,F,18.0,4.75,2.0,0.25,1.75,2.0,6.0,15.0,1.5,5.25,4.5,5.5,0.501,0.358,1.5
Rori Harmon,Washington Mystics,G,1.455,0.727,1.364,0.636,0.0,1.455,0.545,1.455,0.091,0.727,0.273,0.545,0.333,1.333,91.406
Sabrina Ionescu,New York Liberty,G,16.0,3.88,4.44,0.68,0.2,2.72,5.36,12.76,2.12,6.52,3.16,3.52,0.743,0.992,41.968
Sami Whitcomb,Phoenix Mercury,G,4.769,1.769,1.846,0.769,0.0,0.846,1.462,4.692,1.077,3.846,0.769,0.769,0.754,1.278,231.846
Sania Feagin,Los Angeles Sparks,F,2.0,1.0,0.5,0.25,0.0,0.25,0.5,1.0,0.0,0.0,1.0,1.0,0.667,0.0,249.75
Sania Feagin,Portland Fire,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Saniya Rivers,Connecticut Sun,G,6.567,2.2,3.1,0.967,0.7,1.367,2.533,7.467,0.3,1.833,1.2,1.9,0.32,1.533,234.917
Sarah Ashlee Barker,Portland Fire,G,10.296,4.333,2.296,0.852,0.333,1.926,4.0,7.963,1.333,3.333,0.963,1.296,0.622,0.778,75.345
Satou Sabally,New York Liberty,F,10.385,2.769,1.923,0.077,0.154,1.692,3.462,7.538,1.538,4.0,1.923,2.231,0.91,0.721,77.756
Saylor Poffenbarger,Chicago Sky,G,0.0,1.2,0.2,0.4,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,,199.8
Saylor Poffenbarger,Minnesota Lynx,G,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0
Serah Williams,Portland Fire,C,4.469,2.625,0.562,0.438,0.406,0.844,1.688,3.0,0.031,0.062,1.062,1.656,0.407,0.392,187.552
Sevgi Uzun,Los Angeles Sparks,G,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Shakira Austin,Washington Mystics,C,16.727,9.576,2.515,0.636,1.364,2.909,6.061,12.606,0.515,1.424,4.091,5.606,0.481,0.506,31.368
Shatori Walker-Kimbrough,Atlanta Dream,G,1.143,0.286,0.286,0.143,0.0,0.0,0.286,0.571,0.0,0.0,0.571,0.571,0.5,1.0,142.714
Shatori Walker-Kimbrough,Indiana Fever,G,3.0,1.5,1.0,0.5,0.5,0.75,1.25,2.75,0.25,0.5,0.25,1.0,0.381,0.667,249.75
Shay Ciezki,Phoenix Mercury,G,1.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,1.5,0.0,499.5
Shey Peddy,Connecticut Sun,G,,,,,,,,,,,,,,,
Sika Kone,Atlanta Dream,F,1.793,1.138,0.207,0.069,0.0,0.276,0.586,1.862,0.138,0.931,0.483,0.655,0.311,0.267,69.0
Skylar Diggins,Chicago Sky,G,14.158,3.158,4.895,0.947,0.579,1.737,4.579,11.684,1.368,3.579,3.632,4.684,0.663,1.101,212.228
Sonia Citron,Washington Mystics,G,16.906,3.844,4.0,1.188,0.688,2.469,5.344,11.344,1.281,4.0,4.938,5.562,0.79,0.937,64.178
Sophie Cunningham,Indiana Fever,G,8.444,2.306,1.222,0.556,0.111,0.694,2.583,5.333,1.611,3.611,1.667,1.944,1.19,0.628,305.824
Stefanie Dolson,Seattle Storm,C,3.405,2.297,1.135,0.324,0.432,0.811,1.108,2.405,0.514,1.297,0.676,0.811,0.87,0.932,216.662
Stephanie Jones,Atlanta Dream,F,3.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,4.0,1.5,,0.5
Stephanie Talbot,Las Vegas Aces,F,3.395,2.421,1.0,0.632,0.263,0.658,1.289,3.105,0.447,1.789,0.368,0.526,0.448,0.642,210.961
Sug Sutton,Dallas Wings,G,2.167,0.667,1.556,0.278,0.111,0.667,0.944,1.833,0.222,0.778,0.056,0.111,0.411,1.606,333.694
Sug Sutton,Portland Fire,G,11.333,1.667,5.667,0.667,0.0,2.0,4.333,10.333,0.667,2.667,2.0,3.333,0.386,1.528,3.944
Sydney Taylor,Chicago Sky,G,14.714,1.571,1.679,0.714,0.25,1.5,5.179,11.357,2.107,5.929,2.25,2.714,0.751,0.426,179.381
Ta'Niya Latson,Las Vegas Aces,G,5.8,1.0,0.8,0.2,0.2,0.6,1.8,3.4,0.4,0.8,1.8,2.0,0.465,0.444,200.0
Ta'Niya Latson,Los Angeles Sparks,G,2.273,1.0,0.455,0.0,0.0,1.0,0.455,1.455,0.091,0.545,1.273,1.909,1.289,0.25,0.227
Taina Mair,Seattle Storm,G,1.167,0.333,0.5,0.0,0.0,0.5,0.333,1.667,0.167,0.5,0.333,0.333,0.433,0.0,333.167
Taylor Bigby,Connecticut Sun,G,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,999.0
Taylor Thierry,Atlanta Dream,F,7.0,4.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,1.4,0.5,1.0
Taylor Thierry,Seattle Storm,F,1.182,1.273,0.273,0.182,0.0,0.182,0.364,1.091,0.273,0.636,0.182,0.182,0.528,0.75,90.818
Te-Hina Paopao,Atlanta Dream,G,4.0,0.923,1.462,0.192,0.115,0.654,1.385,3.962,0.962,2.615,0.269,0.308,0.894,1.161,423.147
Teaira McCowan,Minnesota Lynx,C,1.4,2.4,0.3,0.1,0.5,0.6,0.7,1.5,0.0,0.0,0.0,0.3,0.0,0.125,100.05
Teja Oblak,Portland Fire,G,5.923,1.615,3.0,0.692,0.038,2.538,2.308,5.269,0.808,2.077,0.5,0.692,0.648,1.615,39.6
Temi Fagbenle,Toronto Tempo,C,4.588,3.529,1.059,0.353,0.294,1.0,2.0,4.235,0.176,0.765,0.412,0.824,0.189,0.538,352.858
Teonni Key,Toronto Tempo,F,1.633,1.633,0.4,0.333,0.5,0.5,0.633,1.667,0.1,0.5,0.267,0.5,0.425,0.357,199.967
Tiffany Hayes,Golden State Valkyries,G,8.406,1.688,2.438,0.719,0.156,1.062,2.688,5.906,0.562,1.938,2.469,3.0,0.83,0.893,375.659
Tima Pouye,Toronto Tempo,G,3.158,0.842,1.158,0.211,0.0,0.737,1.0,2.895,0.421,1.368,0.737,0.947,0.534,1.025,316.079
Tonie Morgan,Los Angeles Sparks,G,5.0,0.5,3.5,0.0,0.0,2.0,1.5,2.0,0.5,0.5,1.5,1.5,1.5,2.0,1.75
Tyasha Harris,Indiana Fever,G,4.355,1.097,2.065,0.258,0.161,0.581,1.452,3.452,0.645,1.903,0.806,0.903,0.6,1.071,387.468
Valeriane Ayayi,Phoenix Mercury,F,6.567,2.767,1.2,0.533,0.167,1.433,1.6,4.2,0.6,2.067,2.767,3.333,1.221,0.673,167.025
Veronica Burton,Golden State Valkyries,G,12.441,3.5,5.529,1.382,0.441,1.529,4.029,9.412,1.441,3.912,2.941,3.618,0.818,1.819,179.384
Zia Cooke,Seattle Storm,G,7.459,1.622,0.865,0.297,0.0,1.081,2.405,6.73,0.784,2.595,1.865,2.297,0.708,0.374,162.492
