player,team,position,pts,reb,ast,stl,blk,to,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
JJ Quinerly,Dallas Wings,G,3.0,1.333,1.667,0.333,0.333,1.0,0.667,2.0,0.333,0.667,1.333,1.333,0.778,1.5,333.333
Jackie Young,Las Vegas Aces,G,18.703,4.216,6.622,0.892,0.27,2.405,6.757,13.811,2.216,5.757,2.973,3.216,0.729,1.043,110.977
Jacy Sheldon,Chicago Sky,G,6.743,1.286,1.629,0.886,0.314,0.857,2.4,5.4,0.914,2.686,1.029,1.171,0.684,0.768,400.369
Jade Masogayo,Minnesota Lynx,F,,,,,,,,,,,,,,,
Jade Melbourne,Seattle Storm,G,9.333,2.028,3.944,0.917,0.222,1.806,3.083,6.944,0.722,2.472,2.444,3.111,0.824,1.643,168.271
Janelle Salaun,Golden State Valkyries,F,13.03,3.727,1.121,0.667,0.121,0.818,4.121,9.758,2.485,6.273,2.303,2.758,1.054,0.359,242.768
Janiah Barker,Las Vegas Aces,F,,,,,,,,,,,,,,,
Jaylyn Sherrod,Atlanta Dream,G,2.3,0.9,1.1,0.5,0.2,0.3,0.7,2.4,0.2,0.5,0.7,0.7,0.417,1.2,599.7
Jaylyn Sherrod,Minnesota Lynx,G,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,999.0
Jessica Shepard,Dallas Wings,F,13.686,11.057,5.0,0.686,0.057,1.771,5.629,9.629,0.0,0.286,2.429,3.457,0.31,0.982,230.676
Jessica Timmons,Indiana Fever,G,3.0,1.0,0.5,0.0,0.0,1.0,0.5,4.0,0.0,2.0,2.0,2.5,0.467,0.0,0.5
Jewell Loyd,Las Vegas Aces,G,8.0,2.444,1.361,1.222,0.139,0.944,2.611,7.361,1.639,5.167,1.139,1.417,0.804,0.624,222.792
Jihyun Park,Los Angeles Sparks,F,2.433,1.033,0.5,0.4,0.033,0.267,0.9,2.2,0.3,1.133,0.333,0.567,0.431,0.433,266.6
Jonquel Jones,New York Liberty,C,14.568,9.297,2.784,0.676,1.162,2.027,4.865,9.946,1.811,4.73,3.027,3.676,0.883,0.741,163.153
Jordan Harrison,Portland Fire,G,6.0,2.111,3.667,0.444,0.111,1.778,2.111,4.556,0.444,1.222,1.333,1.778,0.681,1.688,444.787
Jordan Horston,Seattle Storm,F,4.969,3.656,1.281,0.969,0.469,1.156,1.906,5.031,0.406,1.719,0.75,1.094,0.362,0.859,219.193
Jordan Obi,Las Vegas Aces,G,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Jordin Canada,Atlanta Dream,G,11.206,3.588,7.294,1.941,0.176,2.647,3.676,8.647,0.824,2.912,3.029,3.941,0.651,2.397,91.098
Jovana Nogic,Phoenix Mercury,G,9.222,0.944,1.444,0.556,0.0,1.278,2.778,6.611,1.778,4.222,1.889,2.111,1.061,0.59,167.25
Joyner Holmes,Seattle Storm,F,2.0,5.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5
Julie Allemand,Toronto Tempo,G,6.556,3.222,5.593,1.481,0.407,1.667,2.519,4.444,1.259,2.852,0.259,0.296,0.918,2.618,261.293
Julie Vanloo,Los Angeles Sparks,G,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,1.0
Julie Vanloo,New York Liberty,G,5.8,2.0,5.4,0.4,0.0,2.4,1.8,3.4,1.4,2.8,0.8,0.8,1.36,3.4,2.133
Juste Jocyte,Golden State Valkyries,G,2.6,0.5,0.7,0.0,0.1,0.7,0.8,2.6,0.5,1.4,0.5,0.6,0.719,1.067,200.15
Justine Pissott,Indiana Fever,G,,,,,,,,,,,,,,,
Justine Pissott,Las Vegas Aces,G,6.0,1.333,0.667,0.167,0.333,0.5,2.167,5.5,1.667,4.0,0.0,0.0,0.964,0.117,166.917
Kahleah Copper,Phoenix Mercury,G,20.514,3.6,1.914,0.714,0.086,2.486,6.829,15.771,1.714,5.829,5.143,6.514,0.68,0.332,57.944
Kaila Charles,Golden State Valkyries,G,6.118,4.382,1.324,0.794,0.206,0.971,2.265,5.588,0.676,2.324,0.912,1.176,0.607,0.774,147.696
Kaitlyn Chen,Golden State Valkyries,G,6.853,1.118,2.0,0.265,0.0,1.206,2.794,5.118,0.5,1.353,0.765,1.088,0.426,1.132,177.632
Kamiah Smalls,Portland Fire,F,7.5,0.0,3.0,0.0,0.0,2.0,2.5,5.0,2.0,3.5,0.5,0.5,0.929,2.25,1.5
Kamilla Cardoso,Chicago Sky,C,14.765,8.706,2.441,0.618,1.529,1.794,5.794,10.265,0.0,0.0,3.176,4.324,0.326,0.54,148.376
Kara Dunn,Phoenix Mercury,G,,,,,,,,,,,,,,,
Karlie Samuelson,Portland Fire,G,4.783,1.435,0.87,0.435,0.13,0.391,1.391,3.348,1.087,2.957,0.913,1.043,1.205,0.574,434.565
Kate Martin,Los Angeles Sparks,G,2.4,0.933,0.333,0.2,0.133,0.133,0.8,2.2,0.467,1.6,0.333,0.533,0.684,0.5,266.4
Katie Lou Samuelson,Seattle Storm,F,4.379,2.0,0.724,0.759,0.034,0.483,1.448,3.414,0.828,2.414,0.655,0.862,1.046,0.521,241.414
Kayana Traylor,Indiana Fever,G,6.5,0.5,0.5,0.0,0.0,2.0,2.5,5.5,1.5,3.5,0.0,0.0,0.85,0.25,0.125
Kayla Alexander,Toronto Tempo,C,2.25,2.75,0.5,0.25,0.25,1.0,0.75,1.75,0.0,0.0,0.75,1.0,1.0,0.333,0.375
Kayla McBride,Minnesota Lynx,G,18.081,3.189,2.054,1.73,0.243,1.324,5.946,12.568,2.838,6.703,3.351,3.676,0.945,0.448,297.653
Kayla Thornton,Golden State Valkyries,F,8.471,4.941,0.765,0.676,0.235,0.735,2.735,7.353,1.647,4.706,1.353,1.471,0.857,0.421,323.422
Kelsey Mitchell,Indiana Fever,G,23.595,1.649,2.568,1.027,0.108,1.73,8.405,16.757,2.784,6.378,4.0,4.703,0.782,0.343,82.381
Kelsey Plum,Los Angeles Sparks,G,23.077,2.077,6.231,1.077,0.0,3.0,7.846,15.0,2.538,6.385,4.846,5.923,0.839,0.895,2.755
Kelsey Plum,Phoenix Mercury,G,17.25,2.25,3.25,0.5,0.0,2.5,5.75,10.75,2.0,5.0,3.75,4.5,0.885,0.667,1.75
Kennedy Burke,Connecticut Sun,G,8.121,3.182,1.515,1.03,0.848,1.515,2.697,7.03,1.212,3.606,1.515,2.121,0.704,0.717,182.364
Kia Nurse,Toronto Tempo,G,4.848,0.97,0.818,0.242,0.0,0.333,1.424,4.03,0.909,2.848,1.091,1.182,0.811,0.852,393.848
Kiah Stokes,Golden State Valkyries,C,3.848,5.333,1.212,0.636,1.818,0.485,1.545,3.545,0.545,1.697,0.212,0.455,0.615,0.811,424.227
Kiana Williams,Los Angeles Sparks,G,3.231,0.462,1.615,0.308,0.0,0.769,1.308,3.538,0.538,2.385,0.077,0.231,0.409,0.885,308.487
Kiana Williams,Phoenix Mercury,G,4.75,0.375,0.5,0.5,0.125,0.75,1.5,4.125,1.125,3.125,0.625,0.625,1.325,0.375,125.25
Kierstan Bell,Las Vegas Aces,F,2.36,1.6,0.68,0.28,0.4,0.4,0.88,2.92,0.48,2.04,0.12,0.16,0.427,0.667,240.06
Kiki Iriafen,Washington Mystics,F,14.688,8.906,1.688,0.688,0.406,1.781,5.562,11.094,0.375,1.125,3.188,4.969,0.404,0.323,156.908
Kiki Rice,Toronto Tempo,G,11.167,3.889,2.722,0.889,0.167,1.444,3.667,7.5,0.722,2.167,3.111,3.722,0.928,0.97,334.074
Kyara Linskens,Phoenix Mercury,C,3.056,2.444,0.667,0.556,0.778,0.556,1.0,3.056,0.389,1.333,0.667,0.944,0.683,0.455,333.25
Kyla Oldacre,Connecticut Sun,C,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
Laeticia Amihere,Golden State Valkyries,F,3.033,3.167,1.033,0.4,0.767,0.767,1.067,2.567,0.133,0.333,0.767,1.433,0.419,0.794,200.361
Lani White,Minnesota Lynx,G,,,,,,,,,,,,,,,
Laura Juskaite,Toronto Tempo,F,9.941,4.0,1.559,1.265,0.235,1.853,3.529,7.765,0.971,3.0,1.912,2.353,0.675,0.56,147.6
Laura Ziegler,Los Angeles Sparks,F,2.0,1.25,0.75,0.25,0.5,0.25,0.75,2.75,0.0,1.5,0.5,0.75,0.25,0.25,499.5
Lauren Betts,Washington Mystics,C,6.686,4.314,1.0,0.571,0.686,0.943,2.686,4.829,0.0,0.0,1.314,1.829,0.312,0.406,257.429
Leila Lacan,Connecticut Sun,G,11.792,2.042,4.458,1.708,0.375,2.25,4.458,10.542,1.083,3.417,1.792,2.458,0.524,1.171,44.258
Leonie Fiebich,New York Liberty,F,9.467,2.933,1.867,1.2,0.133,1.733,3.133,7.133,1.733,4.067,1.467,1.667,0.883,0.787,134.406
Lexi Held,Phoenix Mercury,G,5.692,1.308,1.462,0.385,0.154,0.923,2.077,5.385,0.846,2.615,0.692,0.808,0.525,0.724,39.641
Lexi Held,Toronto Tempo,G,1.556,0.778,0.778,0.222,0.0,0.444,0.556,2.0,0.333,0.778,0.111,0.111,0.719,1.25,111.556
Lexie Brown,Seattle Storm,G,3.8,1.3,1.1,0.5,0.1,1.0,1.2,2.6,0.9,2.0,0.5,0.6,1.59,0.528,499.708
Lexie Hull,Indiana Fever,G,5.171,3.086,0.714,0.571,0.2,0.8,1.829,4.314,0.8,2.314,0.714,0.886,0.879,0.303,143.133
Li Yueru,Dallas Wings,C,3.357,2.786,0.5,0.143,0.179,0.643,1.0,2.5,0.25,1.143,1.107,1.536,0.926,0.4,142.929
Liatu King,Minnesota Lynx,F,3.0,2.889,0.0,0.444,0.444,0.778,1.111,2.111,0.222,0.667,0.556,1.556,0.762,0.0,0.0
Lindsay Allen,Dallas Wings,G,1.5,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,2.0,1.0
